"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.18.110.249","10.1.8.75","DNS","71","Standard query 0x833d A arc.msn.com"
"2","0.027611","192.168.1.129","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3","0.027611","10.18.110.89","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4","0.045217","10.1.8.75","10.18.110.249","DNS","185","Standard query response 0x833d A arc.msn.com CNAME arc.trafficmanager.net CNAME iris-de-prod-azsc-eas-b.eastasia.cloudapp.azure.com A 52.184.81.210"
"5","0.049227","10.18.110.249","52.184.81.210","TCP","66","57756  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.130910","52.184.81.210","10.18.110.249","TCP","66","443  >  57756 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM"
"7","0.131047","10.18.110.249","52.184.81.210","TCP","54","57756  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"8","0.133934","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.96? Tell 10.18.110.254"
"9","0.133934","10.18.110.62","224.0.0.252","LLMNR","75","Standard query 0xa217 A BRW90324B4542B0"
"10","0.134527","Ubiquiti_95:30:45","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.6"
"11","0.144886","10.18.110.249","52.184.81.210","TLSv1.2","250","Client Hello"
"12","0.232626","Ubiquiti_60:24:0a","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.8"
"13","0.232626","IntelCor_64:b4:46","Broadcast","ARP","42","Who has 10.18.110.63? Tell 10.18.110.91"
"14","0.232948","52.184.81.210","10.18.110.249","TCP","1464","443  >  57756 [ACK] Seq=1 Ack=197 Win=261888 Len=1410 [TCP segment of a reassembled PDU]"
"15","0.232948","52.184.81.210","10.18.110.249","TCP","1464","443  >  57756 [ACK] Seq=1411 Ack=197 Win=261888 Len=1410 [TCP segment of a reassembled PDU]"
"16","0.232948","52.184.81.210","10.18.110.249","TCP","1464","443  >  57756 [ACK] Seq=2821 Ack=197 Win=261888 Len=1410 [TCP segment of a reassembled PDU]"
"17","0.232948","52.184.81.210","10.18.110.249","TCP","1464","443  >  57756 [ACK] Seq=4231 Ack=197 Win=261888 Len=1410 [TCP segment of a reassembled PDU]"
"18","0.232948","52.184.81.210","10.18.110.249","TLSv1.2","620","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"19","0.233042","10.18.110.249","52.184.81.210","TCP","54","57756  >  443 [ACK] Seq=197 Ack=6207 Win=262144 Len=0"
"20","0.316331","10.18.110.249","52.184.81.210","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"21","0.317090","10.18.110.249","52.184.81.210","TLSv1.2","141","Application Data"
"22","0.328191","103.110.89.172","10.18.110.249","TLSv1.2","77","Application Data"
"23","0.328402","10.18.110.249","103.110.89.172","TLSv1.2","81","Application Data"
"24","0.335062","HP_e4:44:c9","Broadcast","ARP","60","Who has 10.18.110.52? Tell 10.18.110.32"
"25","0.335062","CloudNet_ea:e4:07","Broadcast","ARP","60","Who has 10.18.110.63? Tell 10.18.110.167"
"26","0.351663","103.110.89.172","10.18.110.249","TCP","54","443  >  57720 [ACK] Seq=24 Ack=28 Win=246 Len=0"
"27","0.391324","52.184.81.210","10.18.110.249","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"28","0.391324","52.184.81.210","10.18.110.249","TLSv1.2","123","Application Data"
"29","0.391461","10.18.110.249","52.184.81.210","TCP","54","57756  >  443 [ACK] Seq=442 Ack=6327 Win=261888 Len=0"
"30","0.394698","10.18.110.249","52.184.81.210","TLSv1.2","92","Application Data"
"31","0.437271","Ubiquiti_6f:1e:5d","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.12"
"32","0.437271","Ubiquiti_59:bc:45","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.15"
"33","0.437271","Ubiquiti_6a:44:d9","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.13"
"34","0.437271","Ubiquiti_59:b0:85","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.11"
"35","0.451332","10.18.110.249","10.18.110.167","TCP","164","57673  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=513 Len=110 [TCP segment of a reassembled PDU]"
"36","0.459291","10.18.110.167","10.18.110.249","TCP","164","8009  >  57673 [PSH, ACK] Seq=1 Ack=111 Win=1091 Len=110 [TCP segment of a reassembled PDU]"
"37","0.463608","52.184.81.210","10.18.110.249","TLSv1.2","92","Application Data"
"38","0.463680","10.18.110.249","52.184.81.210","TCP","54","57756  >  443 [ACK] Seq=480 Ack=6365 Win=261888 Len=0"
"39","0.500910","10.18.110.249","10.18.110.167","TCP","54","57673  >  8009 [ACK] Seq=111 Ack=111 Win=512 Len=0"
"40","0.516047","52.184.81.210","10.18.110.249","TCP","54","443  >  57756 [ACK] Seq=6365 Ack=480 Win=261632 Len=0"
"41","0.565075","10.18.110.249","52.184.81.210","TCP","1444","57756  >  443 [ACK] Seq=480 Ack=6365 Win=261888 Len=1390 [TCP segment of a reassembled PDU]"
"42","0.565075","10.18.110.249","52.184.81.210","TLSv1.2","770","Application Data"
"43","0.650975","fe80::d308:48f6:602a:c1ee","ff02::1:3","LLMNR","95","Standard query 0xa217 A BRW90324B4542B0"
"44","0.650975","10.18.110.159","224.0.0.252","LLMNR","75","Standard query 0x8b0f A BRW900F0C0AFC9E"
"45","0.661206","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.77? Tell 10.18.110.254"
"46","0.661206","52.184.81.210","10.18.110.249","TCP","54","443  >  57756 [ACK] Seq=6365 Ack=2586 Win=262144 Len=0"
"47","0.681331","10.18.110.249","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"48","0.693304","52.184.81.210","10.18.110.249","TLSv1.2","907","Application Data"
"49","0.693304","52.184.81.210","10.18.110.249","TLSv1.2","92","Application Data"
"50","0.693423","10.18.110.249","52.184.81.210","TCP","54","57756  >  443 [ACK] Seq=2586 Ack=7256 Win=260864 Len=0"
"51","0.847077","CyberTAN_88:e0:8b","Broadcast","ARP","42","Who has 192.168.2.1? Tell 192.168.2.221"
"52","0.847077","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.158? Tell 10.18.110.254"
"53","0.949227","10.18.110.59","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"54","0.949227","10.18.110.226","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"55","0.949227","10.18.110.71","239.255.255.250","UDP","77","56221  >  15600 Len=35"
"56","0.949739","10.18.110.226","239.255.255.250","SSDP","211","M-SEARCH * HTTP/1.1 "
"57","1.155596","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.96? Tell 10.18.110.254"
"58","1.155596","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.104? Tell 10.18.110.254"
