"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","RealtekS_36:05:9e","Broadcast","ARP","60","Who has 10.18.110.170? Tell 10.18.110.113"
"2","0.000411","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.240? Tell 10.18.110.254"
"3","0.044531","10.18.110.167","10.18.110.249","UDP","337","47723  >  59491 Len=295"
"4","0.057942","10.18.110.249","172.253.118.95","UDP","75","50168  >  443 Len=33"
"5","0.127026","172.253.118.95","10.18.110.249","UDP","67","443  >  50168 Len=25"
"6","0.310635","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.126? Tell 10.18.110.254"
"7","0.331075","10.18.110.249","172.253.118.95","UDP","75","50168  >  443 Len=33"
"8","0.348252","103.110.89.172","10.18.110.249","TLSv1.2","77","Application Data"
"9","0.348528","10.18.110.249","103.110.89.172","TLSv1.2","81","Application Data"
"10","0.395565","172.253.118.95","10.18.110.249","UDP","67","443  >  50168 Len=25"
"11","0.411263","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.99? Tell 10.18.110.254"
"12","0.411263","Ubiquiti_6f:1e:5d","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.12"
"13","0.411263","Ubiquiti_59:b3:b9","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.14"
"14","0.411263","Ubiquiti_59:b0:85","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.11"
"15","0.411263","Ubiquiti_6a:44:d9","Broadcast","ARP","60","Who has 10.18.110.254? Tell 10.18.110.13"
"16","0.411263","Routerbo_10:8f:3c","Broadcast","ARP","60","Who has 10.18.110.104? Tell 10.18.110.254"
"17","0.413051","103.110.89.172","10.18.110.249","TCP","54","443  >  62953 [ACK] Seq=24 Ack=28 Win=246 Len=0"
"18","0.481019","10.18.110.218","10.18.110.249","UDP","316","51938  >  54563 Len=274"
"19","0.485761","10.18.110.218","10.18.110.249","UDP","316","51938  >  54563 Len=274"
"20","0.486261","10.18.110.218","10.18.110.249","UDP","325","51938  >  54563 Len=283"
